file,cut_s,total_s,match_ratio
sample_01_A,3.82,4.0,1.0
sample_01_B,3.64,3.8,1.0
sample_02_A,3.34,3.68,0.8
sample_02_B,3.22,4.36,1.0
sample_03_A,3.04,4.92,1.0
sample_03_B,3.12,5.36,1.0
sample_04_A,2.98,8.12,1.0
sample_04_B,2.94,4.72,1.0
sample_05_A,2.98,4.56,1.0
sample_05_B,4.34,4.52,1.0
sample_06_A,3.22,3.88,1.0
sample_06_B,3.32,3.64,1.0
sample_07_A,2.92,4.4,1.0
sample_07_B,2.96,3.24,1.0
sample_08_A,3.46,8.88,1.0
sample_08_B,3.26,11.36,1.0
sample_09_A,2.48,3.08,0.7
sample_09_B,2.16,3.36,0.7
sample_10_A,3.3,3.72,1.0
sample_10_B,4.6,4.92,1.0
sample_11_A,2.78,3.64,1.0
sample_11_B,2.78,3.32,1.0
sample_12_A,2.8,3.84,1.0
sample_12_B,2.88,3.16,1.0
sample_13_A,3.0,3.88,1.0
sample_13_B,3.42,4.16,1.0
sample_14_A,2.8,3.16,1.0
sample_14_B,2.9,3.32,1.0
sample_15_A,2.84,4.44,1.0
sample_15_B,2.76,3.12,1.0
sample_16_A,4.1,4.96,1.0
sample_16_B,3.84,5.64,1.0
sample_17_A,2.94,3.64,1.0
sample_17_B,3.24,4.2,1.0
sample_18_A,3.54,3.84,1.0
sample_18_B,3.9,3.8,1.0
sample_19_A,3.46,5.44,1.0
sample_19_B,3.5,5.64,1.0
sample_20_A,2.96,6.8,1.0
sample_20_B,2.66,3.96,1.0
sample_21_A,2.88,3.44,1.0
sample_21_B,3.28,3.68,1.0
sample_22_A,2.88,3.28,1.0
sample_22_B,2.82,4.6,1.0
sample_23_A,2.54,4.36,1.0
sample_23_B,2.48,3.6,1.0
sample_24_A,3.1,3.52,1.0
sample_24_B,3.64,6.6,1.0
sample_25_A,2.82,4.08,0.91
sample_25_B,3.04,3.4,1.0
sample_c01_A,3.36,6.64,1.0
sample_c01_B,3.36,6.64,1.0
sample_c02_A,3.36,4.68,1.0
sample_c02_B,3.36,4.68,1.0
sample_c03_A,3.4,4.6,1.0
sample_c03_B,3.4,4.6,1.0
